,season,team,W,D,L
0,2001-2002,Charlton Athletic,10,14,14
1,2001-2002,Southampton,12,9,17
2,2001-2002,Manchester United,24,5,9
3,2001-2002,Liverpool,24,8,6
4,2001-2002,Ipswich Town,9,9,20
5,2001-2002,Tottenham Hotspur,14,8,16
6,2001-2002,Derby County,8,6,24
7,2001-2002,Leeds United,18,12,8
8,2001-2002,West Ham United,15,8,15
9,2001-2002,Aston Villa,12,14,12
10,2001-2002,Arsenal,26,9,3
11,2001-2002,Bolton Wanderers,9,13,16
12,2001-2002,Sunderland,10,10,18
13,2001-2002,Newcastle United,21,8,9
14,2001-2002,Blackburn Rovers,12,10,16
15,2001-2002,Everton,11,10,17
16,2001-2002,Middlesboro,12,9,17
17,2001-2002,Fulham,10,14,14
18,2001-2002,Chelsea,17,13,8
19,2001-2002,Leicester City,5,13,20
20,2002-2003,Charlton Athletic,14,7,17
21,2002-2003,Southampton,13,13,12
22,2002-2003,Manchester United,25,8,5
23,2002-2003,Newcastle United,21,6,11
24,2002-2003,Tottenham Hotspur,14,8,16
25,2002-2003,Aston Villa,12,9,17
26,2002-2003,Leeds United,14,5,19
27,2002-2003,West Ham United,10,12,16
28,2002-2003,Manchester City,15,6,17
29,2002-2003,Arsenal,23,9,6
30,2002-2003,Bolton Wanderers,10,14,14
31,2002-2003,West Bromwich Albion,6,8,24
32,2002-2003,Sunderland,4,7,27
33,2002-2003,Fulham,13,9,16
34,2002-2003,Birmingham,13,9,16
35,2002-2003,Blackburn Rovers,16,12,10
36,2002-2003,Liverpool,18,10,10
37,2002-2003,Everton,17,8,13
38,2002-2003,Middlesboro,13,10,15
39,2002-2003,Chelsea,19,10,9
40,2003-2004,Charlton Athletic,14,11,13
41,2003-2004,Southampton,12,11,15
42,2003-2004,Manchester United,23,6,9
43,2003-2004,Portsmouth,12,9,17
44,2003-2004,Fulham,14,10,14
45,2003-2004,Wolverhampton,7,12,19
46,2003-2004,Tottenham Hotspur,13,6,19
47,2003-2004,Aston Villa,15,11,12
48,2003-2004,Leeds United,8,9,21
49,2003-2004,Manchester City,9,14,15
50,2003-2004,Arsenal,26,12,0
51,2003-2004,Newcastle United,13,17,8
52,2003-2004,Bolton Wanderers,14,11,13
53,2003-2004,Liverpool,16,12,10
54,2003-2004,Birmingham,12,14,12
55,2003-2004,Blackburn Rovers,12,8,18
56,2003-2004,Everton,9,12,17
57,2003-2004,Middlesboro,13,9,16
58,2003-2004,Chelsea,24,7,7
59,2003-2004,Leicester City,6,15,17
60,2004-2005,Charlton Athletic,12,10,16
61,2004-2005,Southampton,6,14,18
62,2004-2005,Manchester United,22,11,5
63,2004-2005,Liverpool,17,7,14
64,2004-2005,Portsmouth,10,9,19
65,2004-2005,Tottenham Hotspur,14,10,14
66,2004-2005,Norwich City,7,12,19
67,2004-2005,Crystal Palace,7,12,19
68,2004-2005,Manchester City,13,13,12
69,2004-2005,Arsenal,25,8,5
70,2004-2005,Newcastle United,10,14,14
71,2004-2005,Bolton Wanderers,16,10,12
72,2004-2005,Aston Villa,12,11,15
73,2004-2005,West Bromwich Albion,6,16,16
74,2004-2005,Fulham,12,8,18
75,2004-2005,Birmingham,11,12,15
76,2004-2005,Blackburn Rovers,9,15,14
77,2004-2005,Everton,18,7,13
78,2004-2005,Middlesboro,14,13,11
79,2004-2005,Chelsea,29,8,1
80,2005-2006,Charlton Athletic,13,8,17
81,2005-2006,Liverpool,25,7,6
82,2005-2006,Manchester United,25,8,5
83,2005-2006,Portsmouth,10,8,20
84,2005-2006,Tottenham Hotspur,18,11,9
85,2005-2006,Manchester City,13,4,21
86,2005-2006,West Ham United,16,7,15
87,2005-2006,Aston Villa,10,12,16
88,2005-2006,Arsenal,20,7,11
89,2005-2006,Newcastle United,17,7,14
90,2005-2006,Bolton Wanderers,15,11,12
91,2005-2006,Wigan Athletic,15,6,17
92,2005-2006,West Bromwich Albion,7,9,22
93,2005-2006,Sunderland,3,6,29
94,2005-2006,Fulham,14,6,18
95,2005-2006,Birmingham,8,10,20
96,2005-2006,Blackburn Rovers,19,6,13
97,2005-2006,Everton,14,8,16
98,2005-2006,Middlesboro,12,9,17
99,2005-2006,Chelsea,29,4,5
100,2006-2007,Charlton Athletic,8,10,20
101,2006-2007,Manchester United,28,5,5
102,2006-2007,Liverpool,20,8,10
103,2006-2007,Fulham,8,15,15
104,2006-2007,Tottenham Hotspur,17,9,12
105,2006-2007,Aston Villa,11,17,10
106,2006-2007,West Ham United,12,5,21
107,2006-2007,Manchester City,11,9,18
108,2006-2007,Arsenal,19,11,8
109,2006-2007,Newcastle United,11,10,17
110,2006-2007,Bolton Wanderers,16,8,14
111,2006-2007,Wigan Athletic,10,8,20
112,2006-2007,Portsmouth,14,12,12
113,2006-2007,Watford,5,13,20
114,2006-2007,Blackburn Rovers,15,7,16
115,2006-2007,Everton,15,13,10
116,2006-2007,Middlesboro,12,10,16
117,2006-2007,Reading,16,7,15
118,2006-2007,Chelsea,24,11,3
119,2006-2007,Sheffield United,10,8,20
120,2007-2008,Liverpool,21,13,4
121,2007-2008,Manchester United,27,6,5
122,2007-2008,Portsmouth,16,9,13
123,2007-2008,Fulham,8,12,18
124,2007-2008,Manchester City,15,10,13
125,2007-2008,Tottenham Hotspur,11,13,14
126,2007-2008,Chelsea,25,10,3
127,2007-2008,West Ham United,13,10,15
128,2007-2008,Aston Villa,16,12,10
129,2007-2008,Arsenal,24,11,3
130,2007-2008,Bolton Wanderers,9,10,19
131,2007-2008,Wigan Athletic,10,10,18
132,2007-2008,Sunderland,11,6,21
133,2007-2008,Newcastle United,11,10,17
134,2007-2008,Birmingham,8,11,19
135,2007-2008,Blackburn Rovers,15,13,10
136,2007-2008,Everton,19,8,11
137,2007-2008,Middlesboro,10,12,16
138,2007-2008,Reading,10,6,22
139,2007-2008,Derby County,1,8,29
140,2008-2009,Manchester United,28,6,4
141,2008-2009,Liverpool,25,11,2
142,2008-2009,Portsmouth,10,11,17
143,2008-2009,Stoke City,12,9,17
144,2008-2009,Aston Villa,17,11,10
145,2008-2009,West Ham United,14,9,15
146,2008-2009,Manchester City,15,5,18
147,2008-2009,Arsenal,20,12,6
148,2008-2009,Newcastle United,7,13,18
149,2008-2009,Hull City,8,11,19
150,2008-2009,Wigan Athletic,12,9,17
151,2008-2009,West Bromwich Albion,8,8,22
152,2008-2009,Sunderland,9,9,20
153,2008-2009,Fulham,14,11,13
154,2008-2009,Blackburn Rovers,10,11,17
155,2008-2009,Tottenham Hotspur,14,9,15
156,2008-2009,Everton,17,12,9
157,2008-2009,Middlesboro,7,11,20
158,2008-2009,Bolton Wanderers,11,8,19
159,2008-2009,Chelsea,25,8,5
160,2009-2010,Liverpool,18,9,11
161,2009-2010,Manchester United,27,4,7
162,2009-2010,Wolverhampton,9,11,18
163,2009-2010,Manchester City,18,13,7
164,2009-2010,Tottenham Hotspur,21,7,10
165,2009-2010,Aston Villa,17,13,8
166,2009-2010,West Ham United,8,11,19
167,2009-2010,Burnley,8,6,24
168,2009-2010,Arsenal,23,6,9
169,2009-2010,Bolton Wanderers,10,9,19
170,2009-2010,Wigan Athletic,9,9,20
171,2009-2010,Sunderland,11,11,16
172,2009-2010,Fulham,12,10,16
173,2009-2010,Birmingham,13,11,14
174,2009-2010,Blackburn Rovers,13,11,14
175,2009-2010,Stoke City,11,14,13
176,2009-2010,Everton,16,13,9
177,2009-2010,Portsmouth,7,7,24
178,2009-2010,Hull City,6,12,20
179,2009-2010,Chelsea,27,5,6
180,2010-2011,Liverpool,17,7,14
181,2010-2011,Manchester United,23,11,4
182,2010-2011,Newcastle United,11,13,14
183,2010-2011,West Bromwich Albion,12,11,15
184,2010-2011,Tottenham Hotspur,16,14,8
185,2010-2011,Manchester City,21,8,9
186,2010-2011,Stoke City,13,7,18
187,2010-2011,Aston Villa,12,12,14
188,2010-2011,Fulham,11,16,11
189,2010-2011,West Ham United,7,12,19
190,2010-2011,Wigan Athletic,9,15,14
191,2010-2011,Blackpool,10,9,19
192,2010-2011,Sunderland,12,11,15
193,2010-2011,Wolverhampton,11,7,20
194,2010-2011,Birmingham,8,15,15
195,2010-2011,Blackburn Rovers,11,10,17
196,2010-2011,Arsenal,19,11,8
197,2010-2011,Everton,13,15,10
198,2010-2011,Bolton Wanderers,12,10,16
199,2010-2011,Chelsea,21,8,9
200,2011-2012,Queens Park Rangers,10,7,21
201,2011-2012,Manchester United,28,5,5
202,2011-2012,Liverpool,14,10,14
203,2011-2012,Fulham,14,10,14
204,2011-2012,Tottenham Hotspur,20,9,9
205,2011-2012,Norwich City,12,11,15
206,2011-2012,Stoke City,11,12,15
207,2011-2012,Manchester City,28,5,5
208,2011-2012,Swansea City,12,11,15
209,2011-2012,Newcastle United,19,8,11
210,2011-2012,Bolton Wanderers,10,6,22
211,2011-2012,Wigan Athletic,11,10,17
212,2011-2012,West Bromwich Albion,13,8,17
213,2011-2012,Sunderland,11,12,15
214,2011-2012,Wolverhampton,5,10,23
215,2011-2012,Aston Villa,7,17,14
216,2011-2012,Blackburn Rovers,8,7,23
217,2011-2012,Arsenal,21,7,10
218,2011-2012,Everton,15,11,12
219,2011-2012,Chelsea,18,10,10
220,2012-2013,Queens Park Rangers,4,13,21
221,2012-2013,Southampton,9,14,15
222,2012-2013,Manchester United,28,5,5
223,2012-2013,Newcastle United,11,8,19
224,2012-2013,Fulham,11,10,17
225,2012-2013,Stoke City,9,15,14
226,2012-2013,Tottenham Hotspur,21,9,8
227,2012-2013,Norwich City,10,14,14
228,2012-2013,West Ham United,12,10,16
229,2012-2013,Manchester City,23,9,6
230,2012-2013,Swansea City,11,13,14
231,2012-2013,Arsenal,21,10,7
232,2012-2013,Wigan Athletic,9,9,20
233,2012-2013,West Bromwich Albion,14,7,17
234,2012-2013,Sunderland,9,12,17
235,2012-2013,Liverpool,16,13,9
236,2012-2013,Aston Villa,10,11,17
237,2012-2013,Everton,16,15,7
238,2012-2013,Reading,6,10,22
239,2012-2013,Chelsea,22,9,7
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
